contaminant,authorization,limit,amount_released,source,event_id,region
Propane,Permit 21101 (as VOC),416.5 LBS/HR,66.5 lbs (est.),"Source 6: Ethlyene Unit Process Flare , EPN number E-24-FLARE",265107,region 10
Propylene (Propene),Permit 21101 (as VOC),416.5 LBS/HR,345.68 lbs (est.),"Source 6: Ethlyene Unit Process Flare , EPN number E-24-FLARE",265107,region 10
Opacity,No specific emissions authorizations for this facility,10.0 % op,62.33 % op (est.),"Source 1: Boiler , EPN number 22",266256,region 10
"1,3-BUTADIENE",No specific authorization,0.0,14000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Benzene,No specific authorization,0.0,6500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Butanes,No specific authorization,0.0,15000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
"Butenes, All Isomers",No specific authorization,0.0,10000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Carbon Monoxide,No specific authorization,0.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Ethylbenzene,No specific authorization,0.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Ethylene (gaseous),No specific authorization,0.0,150000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Isobutylene,No specific authorization,0.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Nitrogen dioxide,No specific authorization,0.0,4000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Nitrogen oxide,No specific authorization,0.0,25000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Pentanes,No specific authorization,0.0,10500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Propane,No specific authorization,0.0,21000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Propylene,No specific authorization,0.0,50000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Toluene,No specific authorization,0.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Xylene (mixed isomers),No specific authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",267078,region 12
Carbon Monoxide,NSR Permit 20485 and Title V Permit O1327,84.05 LBS/HR,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 12
NOX,NSR Permit 20485 and Title V Permit O1327,16.32 LBS/HR,1000.0 lbs (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 12
Opacity,NSR Permit 20485 and Title V Permit O1327,0.0,75.0 % op (est.),"Source 1: North/South Flare , EPN number UWN6R1 & UWS6R1",266761,region 12
Carbon Monoxide,Permit 19394,184.7 LBS/HR,1474.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Ethylene (gaseous),Permit 19394,149.91 LBS/HR,246.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Hexene,Permit 19394,149.91 LBS/HR,11.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Isobutane,Permit 19394,149.91 LBS/HR,1280.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Isopentane,Permit 19394,149.91 LBS/HR,449.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Nitrous Oxides,Permit 19394,46.38 LBS/HR,435.0 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Sulfur dioxide,Permit 19394,0.48 LBS/HR,0.0267 lbs (est.),"Source 1: Flare , EPN number 58",264965,region 12
Benzene,Permit 21101 (as VOC),476.58 LBS/HR,0.16 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 12
"Butadiene, 1-3",Permit 21101 (as VOC),476.58 LBS/HR,12.86 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 12
Carbon Monoxide,Permit 21101,364.28 LBS/HR,31.61 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 12
NOX,Permit 21101,71.49 LBS/HR,5.48 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 12
Other VOCs,Permit 21101,476.58 LBS/HR,30.54 lbs (est.),"Source 3: Unit Process Flare , EPN number F-40-FLARE",264804,region 12
Butanes,Permit 49138,5156.31 LBS/HR,6554.82 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,4981.12 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,17.52 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,697.36 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Pentanes,Permit 49138,5156.31 LBS/HR,3229.04 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Propane,Permit 49138,5156.31 LBS/HR,1384.81 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,1613.41 lbs (est.),"Source 1: High Pressure Flare , EPN number 60FLR_003",265179,region 12
Carbon Monoxide,Permit 49138,3919.77 LBS/HR,76.41 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
Hydrogen Sulfide,Permit 49138,157.03 LBS/HR,0.79 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 LBS/HR,45.92 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
PM10,Permit 49138,1020.67 LBS/HR,1.97 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
Sulfur dioxide,Permit 49138,15649.92 LBS/HR,19165.7 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
VOC (unspeciated),Permit 49138,5156.31 LBS/HR,0.04 lbs (est.),"Source 4: SRU Thermal Oxidizer , EPN number 32STK_001",265179,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,36.14 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.08 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 12
NOX,NSR Permit 46396,33.0 LBS/HR,7.11 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,1699.69 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,26.23 lbs (est.),"Source 2: North Flare , EPN number FLARECAP",264749,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,94.39 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,0.03 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 12
NOX,NSR Permit 46396,33.0 LBS/HR,17.79 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,6213.69 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,134.09 lbs (est.),"Source 4: South Flare , EPN number FLARECAP",264749,region 12
Crude Oil,101.1/ Stand. Permit No.13493,1.0 bbls,5400.0 lbs (est.),"Source 3: Tank 217/IFR , EPN number Tank 217/IFR",267063,region 12
Opacity,Permit O982,10.0 % op,100.0 % op (est.),"Source 2: Continuous Kiln No. 3 , EPN number K-03",266258,region 12
Opacity,Permit O982,10.0 % op,100.0 % op (est.),"Source 4: Kiln No. 3 Burner Abort Stack , EPN number ABRSTK",266258,region 12
Opacity,'No specific emissions authorizations for this facility',10.0 % op,72.33 % op (est.),"Source 1: Boiler , EPN number 22",266504,region 12
Opacity,'No specific emissions authorizations for this facility',10.0 % op,27.78 % op (est.),"Source 1: Boiler , EPN number 22",266580,region 12
Sulfur dioxide,NSR Permit 80812 Site Wide CAP,641.19 LBS/HR,6116.12 lbs (est.),"Source 3: Flare 23 , EPN number E-23-FLARE",266817,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 1: Alkyation Unit Flare , EPN number EFCCU 1&2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 3: CRU4 Flare , EPN number ECRU4",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 5: DCU1 Flare , EPN number EDCU1",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 6: DCU2 Flare , EPN number EDCU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 9: FCCU Flare , EPN number EFCCU3",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 11: HCU2 Flare , EPN number EHCU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 12: HTU4 Flare , EPN number EHTU4",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 15: LHCU Flare , EPN number EHCU",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 18: SBU2 Flare , EPN number ESBU2",266550,region 12
Carbon Monoxide,Permit 8404,0.0,5001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Hydrogen Sulfide,Permit 8404,0.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Nitrogen Oxides (NOx),Permit 8404,0.0,1001.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Sulfur dioxide,Permit 8404,0.0,501.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
VOCs,Permit 8404,0.0,101.0 lbs (est.),"Source 20: VPS4 Flare , EPN number EVPS4",266550,region 12
Carbon Monoxide,Permit 6056,0.0,5001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Hydrogen Sulfide,Permit 6056,0.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Nitrogen Oxides (NOx),Permit 6056,0.0,1001.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Sulfur dioxide,Permit 6056,0.0,501.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
VOCs,Permit 6056,0.0,101.0 lbs (est.),"Source 21: VPS5 Flare , EPN number EVPS5",266550,region 12
Methyl tert-butyl ether,NSR 20160,0.04 LBS/HR,1000.0 lbs (est.),"Source 3: PO Fugitives , EPN number POFUG",266763,region 12
CO,NSR Permit 46396,39.53 LBS/HR,22.72 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,1.3 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
NOX,NSR Permit 46396,6.4 LBS/HR,4.4 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Other material,NSR Permit 46396 (as PM2.5),2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,2506.67 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,0.5 lbs (est.),"Source 2: SRU No. 5 Incinerator , EPN number 36SRUINCIN",265554,region 12
Benzene,No specific Authorization,0.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Indane,No specific Authorization,0.0,22.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Indene,No specific Authorization,0.0,11.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Naphthalene,No specific Authorization,0.0,126.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Toluene,No specific Authorization,0.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
VOC,No specific Authorization,0.0,69.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
Xylene,No specific Authorization,0.0,7.0 lbs (est.),"Source 1: API Separator , EPN number LOUAPISEP",266301,region 12
"1,3-BUTADIENE",No specific Authorization,0.0,13000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Acetylene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Benzene,No specific Authorization,0.0,12000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Butanes,No specific Authorization,0.0,7000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
"Butenes, All Isomers",No specific Authorization,0.0,7500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Carbon Monoxide,No specific Authorization,0.0,240000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Ethylbenzene,No specific Authorization,0.0,1500.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Ethylene (gaseous),No specific Authorization,0.0,120000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Isobutylene,No specific Authorization,0.0,2000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Isoprene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Nitrogen dioxide,No specific Authorization,0.0,1200.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Nitrogen oxide,No specific Authorization,0.0,23000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Pentadiene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Pentanes,No specific Authorization,0.0,17000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propadiene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propane,No specific Authorization,0.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Propylene,No specific Authorization,0.0,40000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Styrene,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Toluene,No specific Authorization,0.0,3000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Xylenes,No specific Authorization,0.0,1000.0 lbs (est.),"Source 1: LOU Flare , EPN number LOUFLARE",266378,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,68.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,22000.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 1: East Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,66.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,15000.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 3: North Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,NSR Permit 46396,40.37 LBS/HR,121.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,1.06 LBS/HR,28.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,4.5 LBS/HR,10.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
PM10,NSR Permit 46396,1.08 LBS/HR,2.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,1.08 LBS/HR,2.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,37.8 LBS/HR,5000.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
VOC,NSR Permit 46396,2.0 LBS/HR,5.0 lbs (est.),"Source 6: SRU No. 1 & 3 Tailgas Thermal Oxidizer , EPN number 15SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,39.53 LBS/HR,121.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,28.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,6.4 LBS/HR,10.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Other material,NSR Permit 46396 PM 2.5,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,5000.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,2.0 lbs (est.),"Source 7: SRU No. 4 Incinerator , EPN number 25SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,39.53 LBS/HR,121.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,28.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Nitrogen oxide,NSR Permit 46396,6.4 LBS/HR,10.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Other material,NSR Permit 46396 PM 2.5,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
PM10,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Particulate Matter,NSR Permit 46396,2.5 LBS/HR,2.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,5000.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
VOC,NSR Permit 46396,0.43 LBS/HR,5.0 lbs (est.),"Source 8: SRU No. 5 Incinerator , EPN number 36SRUINCIN",266549,region 12
Carbon Monoxide,NSR Permit 46396,226.9 LBS/HR,200.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Hydrogen Sulfide,NSR Permit 46396,0.13 LBS/HR,1.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Nitrogen oxide,NSR Permit 46396,33.0 LBS/HR,68.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Sulfur dioxide,NSR Permit 46396,10.67 LBS/HR,15000.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
VOC,NSR Permit 46396,529.58 LBS/HR,600.0 lbs (est.),"Source 9: South Flare , EPN number FLARECAP",266549,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,10525.75 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,3.18 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1473.0 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Sulfur dioxide,Permit 49138,15649.92 lbs,292.93 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
VOC (unspeciated),Permit 49138,5156.31 lbs,1446.54 lbs (est.),"Source 1: 10 Flare , EPN number 60FLR_010",266516,region 12
Carbon Monoxide,Permit 49138,3919.77 lbs,12210.8 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Hydrogen Sulfide,Permit 49138,157.03 lbs,14.69 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
Nitrogen Oxides (NOx),Permit 49138,1028.46 lbs,1706.3 lbs (est.),"Source 3: 6 Flare , EPN number 60FLR_006",266516,region 12
